sciname,lat,lon,source
Akodon azarae,-29.17,-50.08,Mamíferos do Rio Grande do Sul
Akodon azarae,-30.03,-52.88,Mamíferos do Rio Grande do Sul
Akodon azarae,-30.10,-51.32,Mamíferos do Rio Grande do Sul
Akodon azarae,-31.32,-54.10,Mamíferos do Rio Grande do Sul
Akodon azarae,-31.47,-53.67,Mamíferos do Rio Grande do Sul
Akodon azarae,-31.87,-54.15,Mamíferos do Rio Grande do Sul
Akodon azarae,-24.60,-55.43,"Mammals of South America, Volume 2, Rodentia"
Akodon azarae,-24.67,-55.38,"Mammals of South America, Volume 2, Rodentia"
Akodon azarae,-24.80,-58.35,"Mammals of South America, Volume 2, Rodentia"
Akodon azarae,-25.17,-57.73,"Mammals of South America, Volume 2, Rodentia"
Akodon azarae,-26.80,-59.55,"Mammals of South America, Volume 2, Rodentia"
Akodon azarae,-28.05,-51.19,"Mammals of South America, Volume 2, Rodentia"
Akodon azarae,-28.30,-61.53,"Mammals of South America, Volume 2, Rodentia"
Akodon azarae,-28.55,-56.04,"Mammals of South America, Volume 2, Rodentia"
Akodon azarae,-29.78,-55.77,"Mammals of South America, Volume 2, Rodentia"
Akodon azarae,-30.10,-51.32,"Mammals of South America, Volume 2, Rodentia"
Akodon azarae,-30.73,-60.98,"Mammals of South America, Volume 2, Rodentia"
Akodon azarae,-30.91,-62.83,"Mammals of South America, Volume 2, Rodentia"
Akodon azarae,-32.67,-52.58,"Mammals of South America, Volume 2, Rodentia"
Akodon azarae,-33.12,-64.35,"Mammals of South America, Volume 2, Rodentia"
Akodon azarae,-34.60,-58.45,"Mammals of South America, Volume 2, Rodentia"
Akodon azarae,-34.63,-58.47,"Mammals of South America, Volume 2, Rodentia"
Akodon azarae,-34.68,-56.73,"Mammals of South America, Volume 2, Rodentia"
Akodon azarae,-34.75,-64.90,"Mammals of South America, Volume 2, Rodentia"
Akodon azarae,-34.90,-54.95,"Mammals of South America, Volume 2, Rodentia"
Akodon azarae,-36.95,-65.82,"Mammals of South America, Volume 2, Rodentia"
